time,P,G(i),H_sun,T2m,WS10m,Int
2017-01-01 00:15:00,0.0,0.0,0.0,-3.09,1.86,0.0
2017-01-01 00:30:00,0.0,0.0,0.0,-3.15,1.86,0.0
2017-01-01 00:45:00,0.0,0.0,0.0,-3.21,1.86,0.0
2017-01-01 01:00:00,0.0,0.0,0.0,-3.27,1.86,0.0
2017-01-01 01:15:00,0.0,0.0,0.0,-3.33,1.86,0.0
2017-01-01 01:30:00,0.0,0.0,0.0,-3.3675,1.86,0.0
2017-01-01 01:45:00,0.0,0.0,0.0,-3.4050000000000002,1.86,0.0
2017-01-01 02:00:00,0.0,0.0,0.0,-3.4425,1.86,0.0
2017-01-01 02:15:00,0.0,0.0,0.0,-3.48,1.86,0.0
2017-01-01 02:30:00,0.0,0.0,0.0,-3.4975,1.9125,0.0
2017-01-01 02:45:00,0.0,0.0,0.0,-3.5149999999999997,1.9649999999999999,0.0
2017-01-01 03:00:00,0.0,0.0,0.0,-3.5324999999999998,2.0175,0.0
2017-01-01 03:15:00,0.0,0.0,0.0,-3.55,2.07,0.0
2017-01-01 03:30:00,0.0,0.0,0.0,-3.5374999999999996,2.105,0.0
2017-01-01 03:45:00,0.0,0.0,0.0,-3.525,2.1399999999999997,0.0
2017-01-01 04:00:00,0.0,0.0,0.0,-3.5125,2.175,0.0
2017-01-01 04:15:00,0.0,0.0,0.0,-3.5,2.21,0.0
2017-01-01 04:30:00,0.0,0.0,0.0,-3.46,2.2275,0.0
2017-01-01 04:45:00,0.0,0.0,0.0,-3.42,2.245,0.0
2017-01-01 05:00:00,0.0,0.0,0.0,-3.38,2.2624999999999997,0.0
2017-01-01 05:15:00,0.0,0.0,0.0,-3.34,2.28,0.0
2017-01-01 05:30:00,0.0,0.0,0.0,-3.295,2.295,0.0
2017-01-01 05:45:00,0.0,0.0,0.0,-3.25,2.3099999999999996,0.0
2017-01-01 06:00:00,0.0,0.0,0.0,-3.205,2.3249999999999997,0.0
2017-01-01 06:15:00,0.0,0.0,0.0,-3.16,2.34,0.0
2017-01-01 06:30:00,0.0,0.0,0.0,-3.29,2.34,0.0
2017-01-01 06:45:00,0.0,0.0,0.0,-3.42,2.34,0.0
2017-01-01 07:00:00,0.0,0.0,0.0,-3.5500000000000003,2.34,0.0
2017-01-01 07:15:00,0.0,0.0,0.0,-3.68,2.34,0.0
2017-01-01 07:30:00,118.75,132.3175,1.765,-3.5275,2.3075,0.0
2017-01-01 07:45:00,237.5,264.635,3.53,-3.375,2.275,0.0
2017-01-01 08:00:00,356.25,396.9525,5.295,-3.2225,2.2424999999999997,0.0
2017-01-01 08:15:00,475.0,529.27,7.06,-3.07,2.21,0.0
2017-01-01 08:30:00,513.5975,576.77,8.545,-2.5524999999999998,2.1225,0.0
2017-01-01 08:45:00,552.1949999999999,624.27,10.03,-2.035,2.035,0.0
2017-01-01 09:00:00,590.7925,671.77,11.515,-1.5175,1.9475,0.0
2017-01-01 09:15:00,629.39,719.27,13.0,-1.0,1.86,0.0
2017-01-01 09:30:00,668.17,772.8425,13.9925,-0.43999999999999995,1.7925,0.0
2017-01-01 09:45:00,706.95,826.415,14.985,0.1200000000000001,1.725,0.0
2017-01-01 10:00:00,745.73,879.9875,15.9775,0.6800000000000002,1.6575000000000002,0.0
2017-01-01 10:15:00,784.51,933.56,16.97,1.24,1.59,0.0
2017-01-01 10:30:00,797.0,953.655,17.377499999999998,1.7325,1.59,0.0
2017-01-01 10:45:00,809.49,973.75,17.785,2.225,1.59,0.0
2017-01-01 11:00:00,821.98,993.845,18.192500000000003,2.7175000000000002,1.59,0.0
2017-01-01 11:15:00,834.47,1013.94,18.6,3.21,1.59,0.0
2017-01-01 11:30:00,814.4875,988.3375000000001,18.380000000000003,3.465,1.5375,0.0
2017-01-01 11:45:00,794.505,962.735,18.16,3.72,1.4849999999999999,0.0
2017-01-01 12:00:00,774.5225,937.1324999999999,17.939999999999998,3.9750000000000005,1.4324999999999999,0.0
2017-01-01 12:15:00,754.54,911.53,17.72,4.23,1.38,0.0
2017-01-01 12:30:00,730.8824999999999,880.6274999999999,16.895,4.325,1.3275,0.0
2017-01-01 12:45:00,707.2249999999999,849.7249999999999,16.07,4.42,1.275,0.0
2017-01-01 13:00:00,683.5675,818.8225,15.245,4.515000000000001,1.2225,0.0
2017-01-01 13:15:00,659.91,787.92,14.42,4.61,1.17,0.0
2017-01-01 13:30:00,616.92,732.48,13.0725,4.4975000000000005,1.2574999999999998,0.0
2017-01-01 13:45:00,573.93,677.04,11.725,4.385,1.345,0.0
2017-01-01 14:00:00,530.94,621.5999999999999,10.3775,4.2725,1.4325,0.0
2017-01-01 14:15:00,487.95,566.16,9.03,4.16,1.52,0.0
2017-01-01 14:30:00,365.9625,425.825,7.262499999999999,3.85,1.675,0.0
2017-01-01 14:45:00,243.975,285.49,5.494999999999999,3.54,1.83,0.0
2017-01-01 15:00:00,121.98750000000001,145.15500000000003,3.7275,3.23,1.985,0.0
2017-01-01 15:15:00,0.0,4.82,1.96,2.92,2.14,0.0
2017-01-01 15:30:00,0.0,3.615,1.47,2.4025,2.19,0.0
2017-01-01 15:45:00,0.0,2.41,0.98,1.885,2.24,0.0
2017-01-01 16:00:00,0.0,1.205,0.49,1.3675000000000002,2.29,0.0
2017-01-01 16:15:00,0.0,0.0,0.0,0.85,2.34,0.0
2017-01-01 16:30:00,0.0,0.0,0.0,0.5549999999999999,2.34,0.0
2017-01-01 16:45:00,0.0,0.0,0.0,0.26,2.34,0.0
2017-01-01 17:00:00,0.0,0.0,0.0,-0.03500000000000003,2.34,0.0
2017-01-01 17:15:00,0.0,0.0,0.0,-0.33,2.34,0.0
2017-01-01 17:30:00,0.0,0.0,0.0,-0.4425,2.3575,0.0
2017-01-01 17:45:00,0.0,0.0,0.0,-0.555,2.375,0.0
2017-01-01 18:00:00,0.0,0.0,0.0,-0.6675,2.3925,0.0
2017-01-01 18:15:00,0.0,0.0,0.0,-0.78,2.41,0.0
2017-01-01 18:30:00,0.0,0.0,0.0,-1.0775000000000001,2.4625000000000004,0.0
2017-01-01 18:45:00,0.0,0.0,0.0,-1.375,2.515,0.0
2017-01-01 19:00:00,0.0,0.0,0.0,-1.6724999999999999,2.5675,0.0
2017-01-01 19:15:00,0.0,0.0,0.0,-1.97,2.62,0.0
2017-01-01 19:30:00,0.0,0.0,0.0,-1.97,2.6375,0.0
2017-01-01 19:45:00,0.0,0.0,0.0,-1.97,2.6550000000000002,0.0
2017-01-01 20:00:00,0.0,0.0,0.0,-1.97,2.6725,0.0
2017-01-01 20:15:00,0.0,0.0,0.0,-1.97,2.69,0.0
2017-01-01 20:30:00,0.0,0.0,0.0,-1.96,2.7075,0.0
2017-01-01 20:45:00,0.0,0.0,0.0,-1.95,2.7249999999999996,0.0
2017-01-01 21:00:00,0.0,0.0,0.0,-1.94,2.7424999999999997,0.0
2017-01-01 21:15:00,0.0,0.0,0.0,-1.93,2.76,0.0
2017-01-01 21:30:00,0.0,0.0,0.0,-1.915,2.7424999999999997,0.0
2017-01-01 21:45:00,0.0,0.0,0.0,-1.9,2.7249999999999996,0.0
2017-01-01 22:00:00,0.0,0.0,0.0,-1.885,2.7075,0.0
2017-01-01 22:15:00,0.0,0.0,0.0,-1.87,2.69,0.0
2017-01-01 22:30:00,0.0,0.0,0.0,-1.875,2.655,0.0
2017-01-01 22:45:00,0.0,0.0,0.0,-1.88,2.62,0.0
2017-01-01 23:00:00,0.0,0.0,0.0,-1.885,2.585,0.0
2017-01-01 23:15:00,0.0,0.0,0.0,-1.89,2.55,0.0
2017-01-01 23:30:00,0.0,0.0,0.0,-1.9224999999999999,2.5324999999999998,0.0
2017-01-01 23:45:00,0.0,0.0,0.0,-1.955,2.5149999999999997,0.0
2017-01-02 00:00:00,0.0,0.0,0.0,-1.9875,2.4975,0.0
2017-01-02 00:15:00,0.0,0.0,0.0,-2.02,2.48,0.0
2017-01-02 00:30:00,0.0,0.0,0.0,-2.065,2.4625,0.0
2017-01-02 00:45:00,0.0,0.0,0.0,-2.1100000000000003,2.4450000000000003,0.0
2017-01-02 01:00:00,0.0,0.0,0.0,-2.1550000000000002,2.4275,0.0
2017-01-02 01:15:00,0.0,0.0,0.0,-2.2,2.41,0.0
2017-01-02 01:30:00,0.0,0.0,0.0,-2.2725,2.3775,0.0
2017-01-02 01:45:00,0.0,0.0,0.0,-2.345,2.3449999999999998,0.0
2017-01-02 02:00:00,0.0,0.0,0.0,-2.4175000000000004,2.3125,0.0
2017-01-02 02:15:00,0.0,0.0,0.0,-2.49,2.28,0.0
2017-01-02 02:30:00,0.0,0.0,0.0,-2.575,2.2624999999999997,0.0
2017-01-02 02:45:00,0.0,0.0,0.0,-2.66,2.245,0.0
2017-01-02 03:00:00,0.0,0.0,0.0,-2.745,2.2275,0.0
2017-01-02 03:15:00,0.0,0.0,0.0,-2.83,2.21,0.0
2017-01-02 03:30:00,0.0,0.0,0.0,-2.8825000000000003,2.1925,0.0
2017-01-02 03:45:00,0.0,0.0,0.0,-2.935,2.175,0.0
2017-01-02 04:00:00,0.0,0.0,0.0,-2.9875,2.1575,0.0
2017-01-02 04:15:00,0.0,0.0,0.0,-3.04,2.14,0.0
2017-01-02 04:30:00,0.0,0.0,0.0,-3.0725,2.14,0.0
2017-01-02 04:45:00,0.0,0.0,0.0,-3.105,2.14,0.0
2017-01-02 05:00:00,0.0,0.0,0.0,-3.1375,2.14,0.0
2017-01-02 05:15:00,0.0,0.0,0.0,-3.17,2.14,0.0
2017-01-02 05:30:00,0.0,0.0,0.0,-3.2075,2.1225,0.0
2017-01-02 05:45:00,0.0,0.0,0.0,-3.245,2.105,0.0
2017-01-02 06:00:00,0.0,0.0,0.0,-3.2824999999999998,2.0875,0.0
2017-01-02 06:15:00,0.0,0.0,0.0,-3.32,2.07,0.0
2017-01-02 06:30:00,0.0,0.0,0.0,-3.3475,2.155,0.0
2017-01-02 06:45:00,0.0,0.0,0.0,-3.375,2.24,0.0
2017-01-02 07:00:00,0.0,0.0,0.0,-3.4025,2.325,0.0
2017-01-02 07:15:00,0.0,0.0,0.0,-3.43,2.41,0.0
2017-01-02 07:30:00,11.1625,15.96,1.77,-3.3325,2.4275,0.0
2017-01-02 07:45:00,22.325,31.92,3.54,-3.2350000000000003,2.4450000000000003,0.0
2017-01-02 08:00:00,33.4875,47.88,5.3100000000000005,-3.1375,2.4625,0.0
2017-01-02 08:15:00,44.65,63.84,7.08,-3.04,2.48,0.0
2017-01-02 08:30:00,49.355,69.295,8.57,-2.6525,2.4299999999999997,0.0
2017-01-02 08:45:00,54.06,74.75,10.059999999999999,-2.265,2.38,0.0
2017-01-02 09:00:00,58.765,80.205,11.549999999999999,-1.8775,2.33,0.0
2017-01-02 09:15:00,63.47,85.66,13.04,-1.49,2.28,0.0
2017-01-02 09:30:00,100.27250000000001,125.26249999999999,14.0375,-1.05,2.4349999999999996,0.0
2017-01-02 09:45:00,137.075,164.865,15.035,-0.61,2.59,0.0
2017-01-02 10:00:00,173.8775,204.4675,16.0325,-0.16999999999999993,2.745,0.0
2017-01-02 10:15:00,210.68,244.07,17.03,0.27,2.9,0.0
2017-01-02 10:30:00,286.3175,328.155,17.442500000000003,0.5225,2.985,0.0
2017-01-02 10:45:00,361.95500000000004,412.24,17.855,0.775,3.0700000000000003,0.0
2017-01-02 11:00:00,437.59250000000003,496.325,18.2675,1.0275,3.1550000000000002,0.0
2017-01-02 11:15:00,513.23,580.41,18.68,1.28,3.24,0.0
2017-01-02 11:30:00,397.61,453.47999999999996,18.465,1.3575,3.2575000000000003,0.0
2017-01-02 11:45:00,281.99,326.54999999999995,18.25,1.435,3.2750000000000004,0.0
2017-01-02 12:00:00,166.37,199.62,18.035,1.5125000000000002,3.2925,0.0
2017-01-02 12:15:00,50.75,72.69,17.82,1.59,3.31,0.0
2017-01-02 12:30:00,43.2375,63.705,17.0,1.5375,3.1725,0.0
2017-01-02 12:45:00,35.725,54.72,16.18,1.4849999999999999,3.035,0.0
2017-01-02 13:00:00,28.2125,45.735,15.36,1.4324999999999999,2.8975,0.0
2017-01-02 13:15:00,20.7,36.75,14.54,1.38,2.76,0.0
2017-01-02 13:30:00,17.4525,32.355000000000004,13.192499999999999,1.2249999999999999,2.7424999999999997,0.0
2017-01-02 13:45:00,14.205,27.96,11.844999999999999,1.0699999999999998,2.7249999999999996,0.0
2017-01-02 14:00:00,10.9575,23.565,10.4975,0.915,2.7075,0.0
2017-01-02 14:15:00,7.71,19.17,9.15,0.76,2.69,0.0
2017-01-02 14:30:00,5.7825,14.7225,7.385,0.575,2.69,0.0
2017-01-02 14:45:00,3.855,10.275,5.62,0.39,2.69,0.0
2017-01-02 15:00:00,1.9275000000000002,5.827500000000001,3.8550000000000004,0.20500000000000007,2.69,0.0
2017-01-02 15:15:00,0.0,1.38,2.09,0.02,2.69,0.0
2017-01-02 15:30:00,0.0,1.035,1.5675,-0.12500000000000003,2.69,0.0
2017-01-02 15:45:00,0.0,0.69,1.045,-0.27,2.69,0.0
2017-01-02 16:00:00,0.0,0.345,0.5225,-0.41500000000000004,2.69,0.0
2017-01-02 16:15:00,0.0,0.0,0.0,-0.56,2.69,0.0
2017-01-02 16:30:00,0.0,0.0,0.0,-0.6475000000000001,2.655,0.0
2017-01-02 16:45:00,0.0,0.0,0.0,-0.7350000000000001,2.62,0.0
2017-01-02 17:00:00,0.0,0.0,0.0,-0.8225,2.585,0.0
2017-01-02 17:15:00,0.0,0.0,0.0,-0.91,2.55,0.0
2017-01-02 17:30:00,0.0,0.0,0.0,-0.9625,2.5324999999999998,0.0
2017-01-02 17:45:00,0.0,0.0,0.0,-1.0150000000000001,2.5149999999999997,0.0
2017-01-02 18:00:00,0.0,0.0,0.0,-1.0675000000000001,2.4975,0.0
2017-01-02 18:15:00,0.0,0.0,0.0,-1.12,2.48,0.0
2017-01-02 18:30:00,0.0,0.0,0.0,-1.1525,2.5324999999999998,0.0
2017-01-02 18:45:00,0.0,0.0,0.0,-1.185,2.585,0.0
2017-01-02 19:00:00,0.0,0.0,0.0,-1.2175,2.6375,0.0
2017-01-02 19:15:00,0.0,0.0,0.0,-1.25,2.69,0.0
2017-01-02 19:30:00,0.0,0.0,0.0,-1.3025,2.6025,0.0
2017-01-02 19:45:00,0.0,0.0,0.0,-1.355,2.5149999999999997,0.0
2017-01-02 20:00:00,0.0,0.0,0.0,-1.4075,2.4274999999999998,0.0
