time,P,G(i),H_sun,T2m,WS10m,Int
2010-01-01 00:10:00,0.0,0.0,0.0,-1.32,1.86,0.0
2010-01-01 01:10:00,0.0,0.0,0.0,-1.81,1.72,0.0
2010-01-01 02:10:00,0.0,0.0,0.0,-2.56,1.66,0.0
2010-01-01 03:10:00,0.0,0.0,0.0,-2.99,1.59,0.0
2010-01-01 04:10:00,0.0,0.0,0.0,-3.35,1.59,0.0
2010-01-01 05:10:00,0.0,0.0,0.0,-3.64,1.52,0.0
2010-01-01 06:10:00,0.0,0.0,0.0,-3.74,1.38,0.0
2010-01-01 07:10:00,0.0,0.0,0.0,-3.24,1.31,0.0
2010-01-01 08:10:00,210.14,210.31,7.06,-2.45,0.76,0.0
2010-01-01 09:10:00,378.46,373.25,13.0,-0.14,0.14,0.0
2010-01-01 10:10:00,557.87,562.08,16.97,2.64,0.21,0.0
2010-01-01 11:10:00,205.27,213.01,18.6,4.3,0.76,0.0
2010-01-01 12:10:00,275.69,279.31,17.72,4.86,1.52,0.0
2010-01-01 13:10:00,256.3,260.11,14.42,4.96,1.86,0.0
2010-01-01 14:10:00,97.72,110.21,9.03,4.66,1.93,0.0
2010-01-01 15:10:00,0.0,5.51,1.96,4.22,1.72,0.0
2010-01-01 16:10:00,0.0,0.0,0.0,3.58,1.66,0.0
2010-01-01 17:10:00,0.0,0.0,0.0,3.19,1.72,0.0
2010-01-01 18:10:00,0.0,0.0,0.0,2.76,1.72,0.0
2010-01-01 19:10:00,0.0,0.0,0.0,2.48,1.93,0.0
2010-01-01 20:10:00,0.0,0.0,0.0,1.73,1.93,0.0
2010-01-01 21:10:00,0.0,0.0,0.0,0.81,2.28,0.0
2010-01-01 22:10:00,0.0,0.0,0.0,0.19,2.76,0.0
2010-01-01 23:10:00,0.0,0.0,0.0,-0.29,3.59,0.0
2010-01-02 00:10:00,0.0,0.0,0.0,-0.67,3.59,0.0
2010-01-02 01:10:00,0.0,0.0,0.0,-1.02,3.79,0.0
2010-01-02 02:10:00,0.0,0.0,0.0,-1.26,3.72,0.0
2010-01-02 03:10:00,0.0,0.0,0.0,-1.57,3.72,0.0
2010-01-02 04:10:00,0.0,0.0,0.0,-1.81,3.52,0.0
2010-01-02 05:10:00,0.0,0.0,0.0,-2.17,4.14,0.0
2010-01-02 06:10:00,0.0,0.0,0.0,-2.58,4.21,0.0
2010-01-02 07:10:00,0.0,0.0,0.0,-2.59,3.45,0.0
2010-01-02 08:10:00,248.72,243.08,7.08,-2.8,3.52,0.0
2010-01-02 09:10:00,158.87,162.55,13.04,-2.57,4.62,0.0
2010-01-02 10:10:00,445.9,423.93,17.03,-2.31,4.28,0.0
2010-01-02 11:10:00,76.6,88.4,18.68,-2.23,3.86,0.0
2010-01-02 12:10:00,231.74,229.35,17.82,-2.02,3.86,0.0
2010-01-02 13:10:00,84.7,95.86,14.54,-1.75,3.86,0.0
2010-01-02 14:10:00,3.23,11.18,9.15,-2.13,4.21,0.0
2010-01-02 15:10:00,0.02,5.51,2.09,-2.58,3.59,0.0
2010-01-02 16:10:00,0.0,0.0,0.0,-3.28,3.24,0.0
2010-01-02 17:10:00,0.0,0.0,0.0,-3.61,2.97,0.0
2010-01-02 18:10:00,0.0,0.0,0.0,-3.74,2.76,0.0
2010-01-02 19:10:00,0.0,0.0,0.0,-4.0,2.41,0.0
2010-01-02 20:10:00,0.0,0.0,0.0,-4.22,2.34,0.0
2010-01-02 21:10:00,0.0,0.0,0.0,-4.39,2.34,0.0
2010-01-02 22:10:00,0.0,0.0,0.0,-4.4,2.48,0.0
2010-01-02 23:10:00,0.0,0.0,0.0,-4.41,2.62,0.0
2010-01-03 00:10:00,0.0,0.0,0.0,-4.31,2.62,0.0
2010-01-03 01:10:00,0.0,0.0,0.0,-5.64,2.55,0.0
2010-01-03 02:10:00,0.0,0.0,0.0,-5.85,2.55,0.0
2010-01-03 03:10:00,0.0,0.0,0.0,-6.03,2.62,0.0
2010-01-03 04:10:00,0.0,0.0,0.0,-6.01,2.69,0.0
2010-01-03 05:10:00,0.0,0.0,0.0,-5.9,2.69,0.0
2010-01-03 06:10:00,0.0,0.0,0.0,-5.87,2.69,0.0
2010-01-03 07:10:00,0.0,0.0,0.0,-5.53,2.83,0.0
2010-01-03 08:10:00,552.91,523.16,7.11,-4.92,2.76,0.0
2010-01-03 09:10:00,717.15,685.96,13.09,-3.94,2.9,0.0
2010-01-03 10:10:00,254.86,249.57,17.1,-2.93,3.17,0.0
2010-01-03 11:10:00,226.65,225.58,18.77,-1.67,3.31,0.0
2010-01-03 12:10:00,754.95,732.54,17.92,-1.03,3.38,0.0
2010-01-03 13:10:00,209.11,209.89,14.66,-0.69,3.24,0.0
2010-01-03 14:10:00,376.96,364.41,9.28,-0.65,2.69,0.0
2010-01-03 15:10:00,0.33,6.19,2.22,-1.25,2.41,0.0
2010-01-03 16:10:00,0.0,0.0,0.0,-2.25,2.62,0.0
2010-01-03 17:10:00,0.0,0.0,0.0,-2.61,2.55,0.0
2010-01-03 18:10:00,0.0,0.0,0.0,-2.79,2.28,0.0
2010-01-03 19:10:00,0.0,0.0,0.0,-3.47,2.28,0.0
2010-01-03 20:10:00,0.0,0.0,0.0,-3.44,1.93,0.0
2010-01-03 21:10:00,0.0,0.0,0.0,-3.44,1.59,0.0
2010-01-03 22:10:00,0.0,0.0,0.0,-3.71,1.24,0.0
2010-01-03 23:10:00,0.0,0.0,0.0,-4.01,1.31,0.0
2010-01-04 00:10:00,0.0,0.0,0.0,-4.5,1.17,0.0
2010-01-04 01:10:00,0.0,0.0,0.0,-4.79,0.97,0.0
2010-01-04 02:10:00,0.0,0.0,0.0,-4.91,0.83,0.0
2010-01-04 03:10:00,0.0,0.0,0.0,-4.86,0.69,0.0
2010-01-04 04:10:00,0.0,0.0,0.0,-5.01,0.69,0.0
2010-01-04 05:10:00,0.0,0.0,0.0,-5.23,0.76,0.0
2010-01-04 06:10:00,0.0,0.0,0.0,-5.39,0.83,0.0
2010-01-04 07:10:00,0.0,0.0,0.0,-5.74,0.69,0.0
2010-01-04 08:10:00,490.01,470.26,7.15,-5.75,0.48,0.0
